Time,NH3,NH4,latitude,longitude
2021-04-04 9:00,2.391875734,3.338050774,43.661829,-79.399094
2021-04-04 10:00,-999,-999,43.661829,-79.399094
2021-04-04 11:00,3.078598557,3.830322669,43.661829,-79.399094
2021-04-04 12:00,3.783199111,4.632555402,43.661829,-79.399094
2021-04-04 13:00,4.114513287,5.95388033,43.661829,-79.399094
2021-04-04 14:00,4.247840498,5.422180274,43.661829,-79.399094
2021-04-04 15:00,3.933264678,5.001799402,43.661829,-79.399094
2021-04-04 16:00,3.892894121,5.971396616,43.661829,-79.399094
2021-04-04 17:00,2.568868881,3.564189852,43.661829,-79.399094
2021-04-04 18:00,2.617102442,3.632004294,43.661829,-79.399094
2021-04-04 19:00,2.756625317,3.438528584,43.661829,-79.399094
2021-04-04 20:00,2.354254005,3.572681792,43.661829,-79.399094
2021-04-04 21:00,2.151407955,2.732411555,43.661829,-79.399094
2021-04-04 22:00,1.966820265,2.652582677,43.661829,-79.399094
2021-04-04 23:00,2.340551465,3.389983306,43.661829,-79.399094
2021-04-05 0:00,2.219048608,3.190729598,43.661829,-79.399094
2021-04-05 1:00,2.120497113,3.06874569,43.661829,-79.399094
2021-04-05 2:00,1.898488476,2.194022386,43.661829,-79.399094
2021-04-05 3:00,2.037977809,3.283987366,43.661829,-79.399094
2021-04-05 4:00,2.114005404,2.629305596,43.661829,-79.399094
2021-04-05 5:00,2.365866682,3.715673742,43.661829,-79.399094
2021-04-05 6:00,2.299830993,3.211864071,43.661829,-79.399094
2021-04-05 7:00,2.392696167,3.440906461,43.661829,-79.399094
2021-04-05 8:00,2.199530443,3.086965527,43.661829,-79.399094
2021-04-05 9:00,2.259228183,3.203547706,43.661829,-79.399094
2021-04-05 10:00,1.852453716,2.520459649,43.661829,-79.399094
2021-04-05 11:00,2.426643799,3.293343665,43.661829,-79.399094
2021-04-05 12:00,2.494389891,3.104926506,43.661829,-79.399094
2021-04-05 13:00,2.685142911,3.491083627,43.661829,-79.399094
2021-04-05 14:00,2.674463202,3.468288677,43.661829,-79.399094
2021-04-05 15:00,2.851945286,3.41916316,43.661829,-79.399094
2021-04-05 16:00,2.907751662,4.401473977,43.661829,-79.399094
2021-04-05 17:00,2.695459511,3.458634111,43.661829,-79.399094
2021-04-05 18:00,2.973109121,3.882674416,43.661829,-79.399094
2021-04-05 19:00,2.96334126,3.908119058,43.661829,-79.399094
